speaker,start_time,end_time,text
LAURA,00:12:50,00:12:52,What is he wearing?
TRAVIS,00:12:52,00:12:58,"""Asp Hole?"" What does it say? ""Where you"" what?"
SAM,00:12:58,00:13:01,It's the Asp Hole.
LIAM,00:13:01,00:13:03,Asp. Hole.
SAM,00:13:03,00:13:08,It's just a bar that I like to go to. Down at the Asp Hole.
LIAM,00:13:08,00:13:11,And I got shit for talking about bears today.
MATT,00:13:11,00:13:17,"No, I'm pretty sure that's somewhere in Emon. (laughter)"
TRAVIS,00:13:17,00:13:18,And we'll find it.
SAM,00:13:18,00:13:20,"Yeah, we'll find the Asp Hole."
MATT,00:13:20,00:14:40,"Yeah, so let's actually start this game, guys. Thank you for being patient with our intro here. We've been gone for two weeks. We have a lot to talk about, so thank you for letting us get that out. So picking up where we left off, the party completed the venture of taking the horn of Orcus to a place of safety and sealing it away, hopefully for eternity, with the help of Lady Kima, to the scalebearers. After heading to the basement of the Platinum Sanctuary in the city of Vasselheim, they've succeeded to do so. Vasselheim, which is a distant city to the far northwest of the continent they're used to. This city is a very devout, religion-based city, and currently considered the oldest bastion of civilization in the known civilized world. After taking a skyship across the ocean to get there, sealing the Horn, you guys also discover upon doing so that the ruins, long-forgotten ruins, of what appears to be an ancient temple to Sarenrae were recently discovered. While Sarenrae does not have a strong following in this city, the few that are trying to raise it ask for Pike's help to stay back and help build it and bring it to its former glory. Hopefully to re-establish a basis of worship in this city, and she decided to help these folks. The party then steps away from the ruins of the tower, sad but understanding of the circumstance."
LIAM,00:14:40,00:14:47,Perhaps we could sit on a nearby rooftop and watch Pike work.
LAURA,00:14:47,00:14:50,Just for the next eight months?
TRAVIS,00:14:50,00:14:52,I'd be all right with that.
MARISHA,00:14:52,00:14:53,That's not creepy at all.
MATT,00:14:53,00:15:35,"Critical Role all of a sudden becomes the greatest grass-watching game of all time. As you all stand there, you have to decide your next course of action. You stand in the muddy road, taking in the cold dusk air as the sun slowly sets to the west. Now, this area of the city has a vastly different feel than the Platinum Sanctuary. In the haste to make it to the ruin, you've passed out of the section that seems to be under Bahamut's watch and into a different area. In this area, most of the buildings are reinforced with ruddy iron plates. Plumes of smoke rise up from a handful of heavy smokestacks. You can see over the rooftops in the distance toward the center of this section what looks like a massive dark red statue of a muscular bearded man."
LIAM,00:15:35,00:15:41,The beauty of this game is I have no idea what the shit we're going to do right now.
SAM,00:15:41,00:15:46,So we're standing outside the place where we just left Pike?
MATT,00:15:46,00:15:47,"Yeah, the ruins of the tower."
MARISHA,00:15:47,00:15:51,"So we're essentially standing in the middle of a town being like, now what?"
LAURA,00:15:51,00:15:54,"Should we go look at that statue, then?"
TALIESIN,00:15:54,00:15:56,I want to see if there's an inscription.
MATT,00:15:56,00:15:57,If you'd like to.
TALIESIN,00:15:57,00:15:59,"Yes, that would be lovely."
