speaker,start_time,end_time,reason
TRAVIS,01:54:46,01:54:46,invalid_range
LAURA,01:57:10,01:57:10,invalid_range
TALIESIN,01:57:21,01:57:21,invalid_range
TALIESIN,01:57:27,01:57:27,invalid_range
TALIESIN,01:57:36,01:57:36,invalid_range
TALIESIN,01:57:48,01:57:48,invalid_range
SAM,01:57:53,01:57:53,invalid_range
LAURA,01:58:44,01:58:44,invalid_range
MATT,01:58:45,01:58:45,invalid_range
MATT,01:58:49,01:58:49,invalid_range
SAM,01:59:27,01:59:27,invalid_range
TALIESIN,01:59:32,01:59:32,invalid_range
TRAVIS,02:00:09,02:00:09,invalid_range
TRAVIS,02:00:12,02:00:12,invalid_range
MATT,02:00:19,02:00:19,invalid_range
MATT,02:00:23,02:00:23,invalid_range
MATT,02:00:27,02:00:27,invalid_range
LAURA,02:00:29,02:00:29,invalid_range
MATT,02:00:33,02:00:33,invalid_range
TRAVIS,02:00:40,02:00:40,invalid_range
TRAVIS,02:00:48,02:00:48,invalid_range
LAURA,02:00:50,02:00:50,invalid_range
LAURA,02:00:51,02:00:51,invalid_range
TRAVIS,02:00:53,02:00:53,invalid_range
MATT,02:00:59,02:00:59,invalid_range
SAM,02:01:01,02:01:01,invalid_range
SAM,02:01:06,02:01:06,invalid_range
MATT,02:01:09,02:01:09,invalid_range
MATT,02:01:11,02:01:11,invalid_range
MARISHA,02:01:16,02:01:16,invalid_range
MATT,02:01:40,02:01:40,invalid_range
ASHLEY,02:01:44,02:01:44,invalid_range
ASHLEY,02:01:50,02:01:50,invalid_range
SAM,02:02:19,02:02:19,invalid_range
SAM,02:02:21,02:02:21,invalid_range
MATT,02:02:27,02:02:27,invalid_range
MATT,02:03:02,02:03:02,invalid_range
MATT,02:03:14,02:03:14,invalid_range
ASHLEY,02:03:23,02:03:23,invalid_range
ASHLEY,02:03:32,02:03:32,invalid_range
LAURA,02:04:04,02:04:04,invalid_range
LIAM,02:04:08,02:04:08,invalid_range
ASHLEY,02:04:23,02:04:23,invalid_range
MATT,02:04:43,02:04:43,invalid_range
SAM,02:05:06,02:05:06,invalid_range
MARISHA,02:05:09,02:05:09,invalid_range
MATT,02:05:11,02:05:11,invalid_range
MARISHA,02:05:11,02:05:11,invalid_range
TALIESIN,02:05:14,02:05:14,invalid_range
MATT,02:05:41,02:05:41,invalid_range
MARISHA,02:05:51,02:05:51,invalid_range
MARISHA,02:06:02,02:06:02,invalid_range
TALIESIN,02:06:32,02:06:32,invalid_range
MATT,02:06:56,02:06:56,invalid_range
MARISHA,02:07:18,02:07:18,invalid_range
MARISHA,02:07:38,02:07:38,invalid_range
MATT,02:07:40,02:07:40,invalid_range
SAM,02:07:51,02:07:51,invalid_range
MATT,02:08:08,02:08:08,invalid_range
MARISHA,02:08:11,02:08:11,invalid_range
MARISHA,02:08:41,02:08:41,invalid_range
TALIESIN,02:08:50,02:08:50,invalid_range
MATT,02:09:04,02:09:04,invalid_range
TALIESIN,02:09:53,02:09:53,invalid_range
TALIESIN,02:10:02,02:10:02,invalid_range
MATT,02:10:13,02:10:13,invalid_range
LIAM,02:10:21,02:10:21,invalid_range
MARISHA,02:10:34,02:10:34,invalid_range
SAM,02:10:38,02:10:38,invalid_range
MATT,02:11:03,02:11:03,invalid_range
LIAM,02:11:06,02:11:06,invalid_range
TALIESIN,02:11:10,02:11:10,invalid_range
TRAVIS,02:11:26,02:11:26,invalid_range
SAM,02:11:55,02:11:55,invalid_range
SAM,02:12:03,02:12:03,invalid_range
MATT,02:12:50,02:12:50,invalid_range
MATT,02:12:55,02:12:55,invalid_range
MARISHA,02:13:01,02:13:01,invalid_range
MATT,02:13:21,02:13:21,invalid_range
MARISHA,02:13:34,02:13:34,invalid_range
MATT,02:13:56,02:13:56,invalid_range
LAURA,02:15:08,02:15:08,invalid_range
LIAM,02:15:15,02:15:15,invalid_range
MATT,02:15:18,02:15:18,invalid_range
TRAVIS,02:15:27,02:15:27,invalid_range
TRAVIS,02:15:28,02:15:28,invalid_range
ASHLEY,02:15:35,02:15:35,invalid_range
MATT,02:15:46,02:15:46,invalid_range
MATT,02:16:31,02:16:31,invalid_range
TRAVIS,02:16:45,02:16:45,invalid_range
MARISHA,02:17:03,02:17:03,invalid_range
SAM,02:17:16,02:17:16,invalid_range
SAM,02:17:22,02:17:22,invalid_range
TRAVIS,02:17:26,02:17:26,invalid_range
LAURA,02:17:36,02:17:36,invalid_range
LAURA,02:17:43,02:17:43,invalid_range
LIAM,02:17:51,02:17:51,invalid_range
