speaker,start_time,end_time,emotion,scores,text
MARISHA,00:02:38,00:02:44,Sad,"{'Anger': 0.0003491366223897785, 'Calm': 0.005629183258861303, 'Disgust': 0.022890325635671616, 'Fear': 0.05501648411154747, 'Happy': 0.0022715635132044554, 'Neutral': 0.002509283134713769, 'Sad': 0.9092729687690735, 'Surprised': 0.0020610352512449026}","Um! (laughter) A place in time. Yeah, but the next Thursday."
SAM,00:02:44,00:02:47,Happy,"{'Anger': 0.005081069190055132, 'Calm': 0.003253076458349824, 'Disgust': 0.08450393378734589, 'Fear': 0.04751710593700409, 'Happy': 0.8298245668411255, 'Neutral': 0.0075782909989356995, 'Sad': 0.017669636756181717, 'Surprised': 0.004572279751300812}","Got it, got it, sure."
MARISHA,00:02:47,00:02:50,Disgust,"{'Anger': 0.0036763183306902647, 'Calm': 0.0022417474538087845, 'Disgust': 0.9362452030181885, 'Fear': 0.008931954391300678, 'Happy': 0.02594398707151413, 'Neutral': 0.00302998349070549, 'Sad': 0.017054984346032143, 'Surprised': 0.002875814214348793}",Uh-huh!
LIAM,00:02:50,00:02:52,Fear,"{'Anger': 0.002621951512992382, 'Calm': 0.003201486775651574, 'Disgust': 0.003769421949982643, 'Fear': 0.7542939782142639, 'Happy': 0.1928446888923645, 'Neutral': 0.0019361416343599558, 'Sad': 0.007364185061305761, 'Surprised': 0.03396817296743393}",♪ Gonna be the future soon ♪
TALIESIN,00:02:52,00:02:54,Happy,"{'Anger': 0.002172828186303377, 'Calm': 0.002012624405324459, 'Disgust': 0.01659453473985195, 'Fear': 0.11294589191675186, 'Happy': 0.8448616862297058, 'Neutral': 0.004062274005264044, 'Sad': 0.013882646337151527, 'Surprised': 0.0034675810020416975}",Oh man.
MATT,00:02:54,00:02:56,Happy,"{'Anger': 0.002504790434613824, 'Calm': 0.0014143087901175022, 'Disgust': 0.0073944334872066975, 'Fear': 0.049141574651002884, 'Happy': 0.9301280379295349, 'Neutral': 0.0028489655815064907, 'Sad': 0.003992975223809481, 'Surprised': 0.0025749527849256992}","Well done, well done."
MARISHA,00:02:56,00:02:57,Disgust,"{'Anger': 0.0031436400022357702, 'Calm': 0.0016663685673847795, 'Disgust': 0.9789613485336304, 'Fear': 0.0017234747065231204, 'Happy': 0.002828039228916168, 'Neutral': 0.0028785334434360266, 'Sad': 0.0068644327111542225, 'Surprised': 0.001934206229634583}",Yay!
MATT,00:02:57,00:03:03,Happy,"{'Anger': 0.003967163152992725, 'Calm': 0.0017005170229822397, 'Disgust': 0.008943022228777409, 'Fear': 0.007317268755286932, 'Happy': 0.9688501954078674, 'Neutral': 0.004755279514938593, 'Sad': 0.001849978812970221, 'Surprised': 0.0026165477465838194}","And good Jonathan Coulton drop, Liam. Laura and Taliesin, you guys had something to talk about, right?"
TALIESIN,00:03:03,00:03:05,Disgust,"{'Anger': 0.0070830886252224445, 'Calm': 0.01418926753103733, 'Disgust': 0.6046567559242249, 'Fear': 0.056606173515319824, 'Happy': 0.13828273117542267, 'Neutral': 0.015966778621077538, 'Sad': 0.13961222767829895, 'Surprised': 0.02360290102660656}","Yeah, please."
LAURA,00:03:05,00:03:25,Sad,"{'Anger': 0.0030050789937376976, 'Calm': 0.006066117435693741, 'Disgust': 0.17658549547195435, 'Fear': 0.30627137422561646, 'Happy': 0.14896883070468903, 'Neutral': 0.008702877908945084, 'Sad': 0.34533584117889404, 'Surprised': 0.005064432974904776}","Yeah, so we have been working with (gasp) McFarlane Toys! (exclaiming) For quite a while now, I'm very happy to let you know that our figure-- I don't want to say what it is yet-- is available in the US and the UK stores right now!"
TALIESIN,00:03:25,00:03:26,Happy,"{'Anger': 0.0035032962914556265, 'Calm': 0.002098654629662633, 'Disgust': 0.010175984352827072, 'Fear': 0.018712520599365234, 'Happy': 0.9541510343551636, 'Neutral': 0.004313893616199493, 'Sad': 0.003910437226295471, 'Surprised': 0.0031342264264822006}",Whoa.
LAURA,00:03:26,00:03:47,Disgust,"{'Anger': 0.006297036074101925, 'Calm': 0.006773403845727444, 'Disgust': 0.4640483260154724, 'Fear': 0.09224298596382141, 'Happy': 0.35164397954940796, 'Neutral': 0.006730945780873299, 'Sad': 0.06017284467816353, 'Surprised': 0.012090488336980343}","And it's never going to get made again, so it's there. So I will show you a-this! Is the box, can you guess who it is? Yeah, so this is our Mollymauk figure. It's a freaking phenomenal box."
TALIESIN,00:03:47,00:03:48,Sad,"{'Anger': 0.00020050987950526178, 'Calm': 0.004658119287341833, 'Disgust': 0.016991740092635155, 'Fear': 0.012241199612617493, 'Happy': 0.0007312165107578039, 'Neutral': 0.0039894371293485165, 'Sad': 0.9600141048431396, 'Surprised': 0.0011737109161913395}",It's got foil.
SAM,00:03:48,00:03:51,Disgust,"{'Anger': 0.006687974091619253, 'Calm': 0.008275614120066166, 'Disgust': 0.5091685056686401, 'Fear': 0.05861485376954079, 'Happy': 0.3339601159095764, 'Neutral': 0.008337757550179958, 'Sad': 0.06031510978937149, 'Surprised': 0.014640108682215214}","Wait, where's the thing!"
LIAM,00:03:51,00:03:52,Fear,"{'Anger': 0.0013942545047029853, 'Calm': 0.0024753352627158165, 'Disgust': 0.005372132174670696, 'Fear': 0.8497354388237, 'Happy': 0.10591867566108704, 'Neutral': 0.0018106427742168307, 'Sad': 0.023509226739406586, 'Surprised': 0.009784256108105183}",It got away!
SAM,00:03:52,00:03:54,Happy,"{'Anger': 0.0036401236429810524, 'Calm': 0.0013348914217203856, 'Disgust': 0.003156471299007535, 'Fear': 0.013519921340048313, 'Happy': 0.971786618232727, 'Neutral': 0.002164092380553484, 'Sad': 0.0009428170742467046, 'Surprised': 0.0034550169948488474}",It died!
TALIESIN,00:03:54,00:03:57,Disgust,"{'Anger': 0.0022997548803687096, 'Calm': 0.0027089931536465883, 'Disgust': 0.9418408274650574, 'Fear': 0.006939742714166641, 'Happy': 0.011364810168743134, 'Neutral': 0.0032466633711010218, 'Sad': 0.02898024395108223, 'Surprised': 0.002618836471810937}","Oh, you mean this thing? (exclaiming)"
MATT,00:03:57,00:03:59,Disgust,"{'Anger': 0.0018116696737706661, 'Calm': 0.0019728951156139374, 'Disgust': 0.9631138443946838, 'Fear': 0.0034301062114536762, 'Happy': 0.0030486357863992453, 'Neutral': 0.0031234242487698793, 'Sad': 0.021608609706163406, 'Surprised': 0.0018908201018348336}",That's so cool.
MARISHA,00:03:59,00:04:03,Sad,"{'Anger': 0.00017331750132143497, 'Calm': 0.005245287902653217, 'Disgust': 0.009065850637853146, 'Fear': 0.012661202810704708, 'Happy': 0.0005698763998225331, 'Neutral': 0.002817744854837656, 'Sad': 0.9683127999305725, 'Surprised': 0.001153919962234795}",Look!
TRAVIS,00:04:03,00:04:06,Disgust,"{'Anger': 0.0020716271828860044, 'Calm': 0.005932959727942944, 'Disgust': 0.6500112414360046, 'Fear': 0.0369478315114975, 'Happy': 0.02298004738986492, 'Neutral': 0.006193808279931545, 'Sad': 0.2722691595554352, 'Surprised': 0.003593309549614787}",He's sexy!
ASHLEY,00:04:06,00:04:08,Happy,"{'Anger': 0.004395216703414917, 'Calm': 0.004080219194293022, 'Disgust': 0.11963165551424026, 'Fear': 0.03403455764055252, 'Happy': 0.7932053208351135, 'Neutral': 0.011305912397801876, 'Sad': 0.02837340533733368, 'Surprised': 0.004973690956830978}",I want on so bad.
LAURA,00:04:08,00:04:15,Fear,"{'Anger': 0.0014274509157985449, 'Calm': 0.0011306246742606163, 'Disgust': 0.0043649449944496155, 'Fear': 0.9449611306190491, 'Happy': 0.03216501325368881, 'Neutral': 0.0011460540117695928, 'Sad': 0.011151056736707687, 'Surprised': 0.0036537705454975367}","-- his signature robe, and tarot cards in his hand. You may notice his two scimitars, that's what they're called, right?"
TALIESIN,00:04:15,00:04:18,Happy,"{'Anger': 0.0032750186510384083, 'Calm': 0.001699203159660101, 'Disgust': 0.00552564300596714, 'Fear': 0.012974542565643787, 'Happy': 0.9678103923797607, 'Neutral': 0.0030467375181615353, 'Sad': 0.0017704280326142907, 'Surprised': 0.0038981130346655846}","Yeah, yeah, you're doing fine."
TALIESIN,00:04:18,00:04:41,Disgust,"{'Anger': 0.005882622674107552, 'Calm': 0.0031009844969958067, 'Disgust': 0.8934221863746643, 'Fear': 0.01018275786191225, 'Happy': 0.06510598212480545, 'Neutral': 0.004030315205454826, 'Sad': 0.013639635406434536, 'Surprised': 0.004635476972907782}","Of course they are! Actually, in proper McFarlane fashion, they are removable, and it does take about 30 minutes to get it out of the packaging. (laughter) Which is honestly all I ever want out of a McFarlane toy figure. I want to sit there with an Exacto knife and tweezers, going, ""Goddamn it!"" So. (laughter) It's very well packaged, and actually, our box art is so beautiful, the whole thing is!"
LIAM,00:04:41,00:04:43,Happy,"{'Anger': 0.003395169973373413, 'Calm': 0.0020810130517929792, 'Disgust': 0.00929829478263855, 'Fear': 0.04041362181305885, 'Happy': 0.9318220615386963, 'Neutral': 0.0021495565306395292, 'Sad': 0.002894478850066662, 'Surprised': 0.007945827208459377}",Look at that beautiful peacock!
LAURA,00:04:43,00:04:54,Disgust,"{'Anger': 0.010209405794739723, 'Calm': 0.002970585133880377, 'Disgust': 0.8128109574317932, 'Fear': 0.01011843141168356, 'Happy': 0.13980844616889954, 'Neutral': 0.007797521073371172, 'Sad': 0.013335221447050571, 'Surprised': 0.0029495006892830133}","Taliesin gave notes every single step of the way, and just really, like-- everything is based on canon, and his ideas for what the character looks like, and it's just amazing."
LAURA,00:04:54,00:04:57,Happy,"{'Anger': 0.005006582476198673, 'Calm': 0.005983829032629728, 'Disgust': 0.2282302975654602, 'Fear': 0.0751727893948555, 'Happy': 0.5241122841835022, 'Neutral': 0.02366728149354458, 'Sad': 0.13341380655765533, 'Surprised': 0.004413122311234474}","Thank you to McFarlane Toys, check out this limited edition Molly figurine."
SAM,00:04:57,00:04:59,Happy,"{'Anger': 0.008688352070748806, 'Calm': 0.0047935075126588345, 'Disgust': 0.012204318307340145, 'Fear': 0.012989992275834084, 'Happy': 0.9146533608436584, 'Neutral': 0.004068579524755478, 'Sad': 0.001712755300104618, 'Surprised': 0.0408891923725605}",We've got toys!
TALIESIN,00:04:59,00:05:03,Happy,"{'Anger': 0.0034892342519015074, 'Calm': 0.002828505588695407, 'Disgust': 0.03326907381415367, 'Fear': 0.07582073658704758, 'Happy': 0.8639410138130188, 'Neutral': 0.0033173225820064545, 'Sad': 0.010276341810822487, 'Surprised': 0.007057739421725273}",This is all I ever wanted. (laughter) Right here.
MATT,00:05:03,00:05:04,Disgust,"{'Anger': 0.0017759635811671615, 'Calm': 0.006004779599606991, 'Disgust': 0.6673441529273987, 'Fear': 0.016579004004597664, 'Happy': 0.005110267549753189, 'Neutral': 0.007990628480911255, 'Sad': 0.29215317964553833, 'Surprised': 0.0030420369002968073}",So exciting.
LIAM,00:05:04,00:05:05,Happy,"{'Anger': 0.0022180562373250723, 'Calm': 0.0027159119490534067, 'Disgust': 0.028778880834579468, 'Fear': 0.2941804826259613, 'Happy': 0.6133317947387695, 'Neutral': 0.00655085826292634, 'Sad': 0.04878239706158638, 'Surprised': 0.0034416180569678545}",Holy crap!
TALIESIN,00:05:05,00:05:10,Sad,"{'Anger': 0.001276348135434091, 'Calm': 0.008175427094101906, 'Disgust': 0.15534314513206482, 'Fear': 0.07150810956954956, 'Happy': 0.00733277527615428, 'Neutral': 0.005661462899297476, 'Sad': 0.7463188767433167, 'Surprised': 0.004383845720440149}","If I knew I just had to traumatize our audience to get an action figure, I would've done it earlier. (laughter)"
MATT,00:05:10,00:05:13,Disgust,"{'Anger': 0.0033616807777434587, 'Calm': 0.01127208024263382, 'Disgust': 0.5187650918960571, 'Fear': 0.07689454406499863, 'Happy': 0.0737358033657074, 'Neutral': 0.009495635516941547, 'Sad': 0.29556477069854736, 'Surprised': 0.010910377837717533}",It's all it took the whole time!
TALIESIN,00:05:13,00:05:17,Fear,"{'Anger': 0.0008856933563947678, 'Calm': 0.0012989810202270746, 'Disgust': 0.005805173888802528, 'Fear': 0.9058396816253662, 'Happy': 0.04423545300960541, 'Neutral': 0.0022096126340329647, 'Sad': 0.037638694047927856, 'Surprised': 0.0020867865532636642}","Thank you for your pain, everybody. (laughter)"
MATT,00:05:17,00:05:20,Happy,"{'Anger': 0.01937248930335045, 'Calm': 0.014642823487520218, 'Disgust': 0.35910624265670776, 'Fear': 0.014440251514315605, 'Happy': 0.43069493770599365, 'Neutral': 0.00964879710227251, 'Sad': 0.00783013366162777, 'Surprised': 0.1442643105983734}","Cool, I think that is the end of our announcements."
MATT,00:05:20,00:07:07,Sad,"{'Anger': 0.000967270927503705, 'Calm': 0.004498783499002457, 'Disgust': 0.45308056473731995, 'Fear': 0.028358038514852524, 'Happy': 0.0028240650426596403, 'Neutral': 0.004916945472359657, 'Sad': 0.5031719207763672, 'Surprised': 0.0021824422292411327}","Much shorter this week than last week. And as such, I think it's time to go ahead and jump into tonight's episode of Critical Role! (exclaiming) (water bubbling) (thunder rumbling) (explosion roaring) ♪ Role, Critical Role ♪ ♪ Critical Role ♪ ♪ Mighty Nein ♪ ♪ Roll the dice ♪ ♪ The adventure begins, ♪ they were always beside you ♪ ♪ Your nerdy best friends and the DM to guide you ♪ ♪ And they rise from the flames for the battles ahead ♪ ♪ Villains beware 'cause you're about to be dead ♪ ♪ They got magic and flair, ♪ they got falchions and cunning ♪ ♪ They don't see over there there's a monster incoming ♪ ♪ Inspiration is waiting, rise up, don't think twice ♪ ♪ Put your fate in your hands, take a chance, ♪ ♪ roll the dice ♪ ♪ Critical Role (roll the dice) ♪ ♪ Critical Role (roll the dice) ♪ ♪ Critical Role (roll the dice) ♪ ♪ Can you answer the call, diggin' deep in your soul ♪ ♪ As the legend unfolds ♪ ♪ Now it's your turn ♪ ♪ Your turn, your turn ♪ ♪ To roll ♪ (flames whooshing)"
MATT,00:07:07,00:07:31,Happy,"{'Anger': 0.00579787977039814, 'Calm': 0.0022448876406997442, 'Disgust': 0.02834765799343586, 'Fear': 0.015172254294157028, 'Happy': 0.934179425239563, 'Neutral': 0.006597289815545082, 'Sad': 0.004363514482975006, 'Surprised': 0.0032970942556858063}","And welcome back. So last we left off: The Mighty Nein, after helping aid the negotiation between the Kryn Dynasty and the Dwendalian Empire come to a momentary close. You separated yourselves to head around the island of Urukayxl and the Inkclaw Reef, making your way towards Rumblecusp, where you had planned in the near future, to hold Traveler Con."
LAURA,00:07:31,00:07:33,Disgust,"{'Anger': 0.03192693367600441, 'Calm': 0.004134709015488625, 'Disgust': 0.8380579948425293, 'Fear': 0.008810477331280708, 'Happy': 0.09098196029663086, 'Neutral': 0.005529447458684444, 'Sad': 0.007303152699023485, 'Surprised': 0.01325544435530901}",Woo!
MATT,00:07:33,00:08:21,Happy,"{'Anger': 0.03135388344526291, 'Calm': 0.003973538056015968, 'Disgust': 0.4595721364021301, 'Fear': 0.01095668412744999, 'Happy': 0.4739837348461151, 'Neutral': 0.008109922520816326, 'Sad': 0.0060125854797661304, 'Surprised': 0.006037523038685322}","Along the way, you drew the attention of a dangerous entity in the sea, what turned out to be a dragon turtle, a massive, massive threat. You managed to keep it at bay, fire towards it, only sustained a bit of damage to your hull before miraculously transforming it into a regular sea turtle, and then eventually a sea slug, leaving it in your wake, literally, and heading a bit off course, taking a little more time in your travel, but eventually making your way to the island of Rumblecusp, unscathed any further. Upon planting yourself on the outskirts of the island, and taking your ships to the shore, you began to-- you left the rest of the crew there, on the beach, to keep an eye, while you began to enter the jungle proper. There, within the tangled tree mass-- What? What did I miss?"
TRAVIS,00:08:21,00:08:27,Disgust,"{'Anger': 0.0022454094141721725, 'Calm': 0.002169098239392042, 'Disgust': 0.9457138776779175, 'Fear': 0.006001567468047142, 'Happy': 0.005622814409434795, 'Neutral': 0.003916691057384014, 'Sad': 0.03262965381145477, 'Surprised': 0.0017008900176733732}","No, no, I'm just thinking, I'm regretting leaving them on the shore. We should have told them to hide or some shit!"
MATT,00:08:27,00:08:31,Happy,"{'Anger': 0.0026570886839181185, 'Calm': 0.003266601823270321, 'Disgust': 0.061501823365688324, 'Fear': 0.10688558965921402, 'Happy': 0.7741597890853882, 'Neutral': 0.006973876152187586, 'Sad': 0.039899080991744995, 'Surprised': 0.004656199365854263}",I'm sure it's fine.
MARISHA,00:08:31,00:08:33,Sad,"{'Anger': 0.00020690535893663764, 'Calm': 0.004439733922481537, 'Disgust': 0.011307740584015846, 'Fear': 0.027687644585967064, 'Happy': 0.0014832966262474656, 'Neutral': 0.004427148494869471, 'Sad': 0.9494651556015015, 'Surprised': 0.0009824438020586967}",I forgot about them. Anyway.
MATT,00:08:33,00:10:52,Disgust,"{'Anger': 0.005841515958309174, 'Calm': 0.001391892321407795, 'Disgust': 0.9600655436515808, 'Fear': 0.004380824044346809, 'Happy': 0.016086431220173836, 'Neutral': 0.0034172190353274345, 'Sad': 0.007450301665812731, 'Surprised': 0.001366314711049199}","Heading into the jungles, a short time in, you found yourselves being hunted. And as these creatures, these black, panther-like beasts, you've seen before in the past, began to present themselves, ready to pounce, and attack. They themselves were assaulted by a small hunting party, of two individuals in appeared to be a semi-humanoid-bear state. Upon killing one of these creatures, and sending the other scattering, they began to prepare it for bringing back to their village, which you discovered exists in this island, a commune known as Vo, and they were eager to tell you about it, they were excited to meet newcomers to the island, and to show you the safest route back to the place that they call home. These individuals, named Pono and Jaina, carried the corpse of this displacer beast and alongside you, you are brought to this makeshift, driftwood, patchwork village. Some buildings looking much older than others, you can see large bridge networks that connected different structures, held aloft at different points in the few trees that still remain in this clearing, in the center of this dense jungle on Rumblecusp. People who lived here begin to come out excitedly and whisper about the new arrivals, until eventually you are brought to bear, and meet two of the three leaders of this village, one of which is a tall, lanky, male orc figure, with gray skin, bright smile, multiple tools hanging from his belt, that clangle as he walks, his hair pulled back into braids, to about the midpoint of his back, and a half-elf woman that you saw being brought down by a cluster of moving vines from atop a structure higher up in the tree. This half-elf female, tan of skin, sun-bleached, long, wild hair, with a leg made of vines, it looks like, steps down onto the ground, and approaches before saying, ""Welcome, so what brings you here?"""
SAM,00:10:52,00:10:53,Sad,"{'Anger': 0.0008576330146752298, 'Calm': 0.006156179588288069, 'Disgust': 0.1987268179655075, 'Fear': 0.04527091979980469, 'Happy': 0.01713397353887558, 'Neutral': 0.010138162411749363, 'Sad': 0.7196696400642395, 'Surprised': 0.0020467222202569246}",(audible nervous swallow)
MATT,00:10:53,00:11:00,Disgust,"{'Anger': 0.020487872883677483, 'Calm': 0.005775938276201487, 'Disgust': 0.3521518111228943, 'Fear': 0.04371799901127815, 'Happy': 0.20436006784439087, 'Neutral': 0.2793923020362854, 'Sad': 0.09184008836746216, 'Surprised': 0.002274046652019024}",A moment of silence comes over as everyone is now waiting with baited breath to hear what the newcomers have to say.
LAURA,00:11:00,00:11:27,Happy,"{'Anger': 0.003209116868674755, 'Calm': 0.0017203633906319737, 'Disgust': 0.019754687324166298, 'Fear': 0.08349384367465973, 'Happy': 0.8763747215270996, 'Neutral': 0.0038336138240993023, 'Sad': 0.008828822523355484, 'Surprised': 0.0027848246973007917}","Well, we were hoping to have a festival here. We heard beautiful things about Rumblecusp, and how tropical and fabulous it was, and we thought maybe we should just have a bunch of people worship a god. It's not your god, but it's our god named the Traveler."
MATT,00:11:27,00:11:58,Disgust,"{'Anger': 0.0020013335160911083, 'Calm': 0.0030446548480540514, 'Disgust': 0.7426409721374512, 'Fear': 0.04377878084778786, 'Happy': 0.010089585557579994, 'Neutral': 0.006563747301697731, 'Sad': 0.19004224240779877, 'Surprised': 0.001838542171753943}","The woman named Viridian turns and looks to Lukash, and he gives a quirky grin in her direction. And she looks back towards you, ""I'm curious about the ramifications of bringing a god to an island that already is home to one, but we can certainly discuss the possibilities. But this is your reason for coming, you say?"""
TRAVIS,00:11:58,00:12:10,Sad,"{'Anger': 0.0031222421675920486, 'Calm': 0.006785036530345678, 'Disgust': 0.3409464657306671, 'Fear': 0.13056321442127228, 'Happy': 0.037806183099746704, 'Neutral': 0.01833561807870865, 'Sad': 0.4584398865699768, 'Surprised': 0.00400136411190033}","It is. Unfortunately, we weren't aware that there was civilization on this island. I'm afraid none of us were familiar with Rumblecusp prior to landing here."
