speaker,start_time,end_time,emotion,scores
ORION,00:17:27,00:17:28,disgust,"{'angry': 0.0018287021666765213, 'calm': 0.0008551934733986855, 'disgust': 0.7830364108085632, 'fearful': 0.025648275390267372, 'happy': 0.001738242106512189, 'sad': 0.18465323746204376, 'surprised': 0.0022399178706109524}"
MATT,00:17:28,00:17:30,disgust,"{'angry': 0.0022981083020567894, 'calm': 0.0008887123549357057, 'disgust': 0.9304513335227966, 'fearful': 0.008955570869147778, 'happy': 0.0022769267670810223, 'sad': 0.053791772574186325, 'surprised': 0.0013375243870541453}"
ORION,00:17:30,00:17:32,disgust,"{'angry': 0.0019408928928896785, 'calm': 0.0008393253665417433, 'disgust': 0.6984466910362244, 'fearful': 0.037863511592149734, 'happy': 0.0016806209459900856, 'sad': 0.25638988614082336, 'surprised': 0.002839153166860342}"
MATT,00:17:32,00:17:33,disgust,"{'angry': 0.0021326143760234118, 'calm': 0.002197559457272291, 'disgust': 0.8272948861122131, 'fearful': 0.014836286194622517, 'happy': 0.0024156065192073584, 'sad': 0.14991654455661774, 'surprised': 0.001206494402140379}"
ORION,00:17:33,00:17:35,disgust,"{'angry': 0.002191465348005295, 'calm': 0.0005547863547690213, 'disgust': 0.9480037093162537, 'fearful': 0.00783542450517416, 'happy': 0.0022610127925872803, 'sad': 0.03719978407025337, 'surprised': 0.0019538868218660355}"
MATT,00:17:35,00:17:36,sad,"{'angry': 0.0011313494760543108, 'calm': 0.001435857848264277, 'disgust': 0.11373543739318848, 'fearful': 0.136110320687294, 'happy': 0.00126924819778651, 'sad': 0.7449882626533508, 'surprised': 0.0013295405078679323}"
ORION,00:17:36,00:17:38,sad,"{'angry': 0.00225941464304924, 'calm': 0.001646867603994906, 'disgust': 0.0974874198436737, 'fearful': 0.40709736943244934, 'happy': 0.0036455767694860697, 'sad': 0.48649919033050537, 'surprised': 0.0013642058474943042}"
SAM,00:17:38,00:17:50,disgust,"{'angry': 0.0034030647948384285, 'calm': 0.00048724061343818903, 'disgust': 0.9774224758148193, 'fearful': 0.0031135319732129574, 'happy': 0.0027456299867480993, 'sad': 0.011149023659527302, 'surprised': 0.0016789829824119806}"
MATT,00:17:50,00:19:37,disgust,"{'angry': 0.0019488123944029212, 'calm': 0.0007656309171579778, 'disgust': 0.9145558476448059, 'fearful': 0.009623879566788673, 'happy': 0.0017052869079634547, 'sad': 0.06975744664669037, 'surprised': 0.0016431575641036034}"
TRAVIS,00:19:37,00:19:38,sad,"{'angry': 0.0008107390021905303, 'calm': 0.002625389490276575, 'disgust': 0.16641667485237122, 'fearful': 0.031330406665802, 'happy': 0.0007091279258020222, 'sad': 0.7969173789024353, 'surprised': 0.001190217211842537}"
MATT,00:19:38,00:19:49,disgust,"{'angry': 0.0033449940383434296, 'calm': 0.0005474354838952422, 'disgust': 0.9791707992553711, 'fearful': 0.00244580814614892, 'happy': 0.0025498047471046448, 'sad': 0.010202278383076191, 'surprised': 0.0017389832064509392}"
